"Bancos","Caja y Bancos en ME / Obligaciones a la Vista ME ( N° de veces)","Caja y Bancos MN / Obligaciones a la Vista MN ( N° de veces )","Creditos Atrasados (criterio SBS)* / Creditos Directos","Creditos Atrasados con mas de 90 dias de atraso / Creditos Directos","Creditos Atrasados ME (criterio SBS)* / Creditos Directos ME","Creditos Atrasados MN (criterio SBS)* / Creditos Directos MN","Creditos Directos / Personal ( S/ Miles )","Creditos Refinanciados y Reestructurados / Creditos Directos","Depositos / Numero de Oficinas ( S/ Miles )","Gastos de Administracion Anualizados / Activo Productivo Promedio","Gastos de Operacion / Margen Financiero Total","Ingresos Financieros / Ingresos Totales","Ingresos Financieros Anualizados / Activo Productivo Promedio","Pasivo Total / Capital Social y Reservas ( N° de veces )","Periodo","Provisiones / Creditos Atrasados","Ratio de Capital Global (al mes anterior)","Ratio de Liquidez ME (Promedio de saldos del mes)","Ratio de Liquidez MN (Promedio de saldos del mes)","Utilidad Neta Anualizada / Activo Promedio","Utilidad Neta Anualizada / Patrimonio Promedio"
"Scotiabank",1.45,0.23,3.23,2.66,4.27,2.66,6713,0.6,147665.54,2.49,37.45,84.42,7.69,8.73,2016-04-30,124.76,14.17,43.11,21.15,1.96,17.63
"Azteca",81.51,132.15,11.25,9.28,0,11.25,168,0.01,3641.1,20.92,61.94,96.35,43.9,5.66,2016-05-31,234.93,23.08,81.9,60.99,1.42,10.93
"B. del Comercio",11.99,1.67,3.53,3.34,17.38,2.06,1787,1.73,81911.89,4.54,52.24,89.25,12.38,7.71,2016-05-31,171.4,12,88.21,30.01,1.74,14.3
"BBVA",1.35,0.21,2.44,2.15,3.34,2,8988,1.69,141746.51,2.2,42,83.04,7.29,12.83,2016-05-31,186.69,13.77,45.02,25.88,1.73,22.53
"BCP",1.07,0.21,2.82,2.1,2.32,3.09,3697,0.83,163428.4,2.85,37.54,80,8.15,10.43,2016-05-31,143.47,15.12,39.3,28.05,2.31,23.96
"BIF",2.24,0.84,2.23,2.03,3.63,1.53,6104,1.8,92262.81,2.37,44.27,86.61,8.23,16.08,2016-05-31,164.47,12.66,44.39,13.13,0.98,13.53
"Cencosud",0,0,5.62,4.69,0,5.62,610,1.09,7473.8,30.44,73.49,84.92,46.11,2.74,2016-05-31,133.42,21.6,221.03,101,1.33,5.1
"Citibank",0.88,0.1,0,0,0,0,5776,0,5023724.06,3.01,55.08,87.13,7,8.15,2016-05-31,0,20.27,102.4,42.17,2.13,14.01
"Deutsche",0,0,0,NA,0,0,0,0,NA,12.52,191.95,32.53,23.83,0.08,2016-05-31,0,137.11,3399.03,25652.49,6.61,13.9
"Falabella",0,0,4.98,4.61,13.05,4.84,1528,1.81,32317.98,10.97,53.02,87.56,24.93,7,2016-05-31,164.21,14.59,103.26,34.19,2.48,17.94
"GNB",2.09,0.74,1.98,1.8,3.71,1.35,6500,0.86,263396.26,2.91,53.48,89.67,8.27,7.14,2016-05-31,175.82,13.47,49.23,17.54,1.03,9.03
"ICBC",2.7,10.42,2.65,2.65,0,9.62,3711,0,200983.92,4.22,245.4,88.69,3.44,2.51,2016-05-31,125.75,43.53,66.19,320.46,-2.91,-11.78
"Interbank",1.49,0.25,2.66,2.45,2.8,2.61,3628,1.09,83360.36,3.48,41.63,86.75,10.92,11.34,2016-05-31,175.13,16.63,54.95,25.31,2.15,24.72
"Mibanco",74.27,17.23,4.75,3.11,16.1,4.43,766,1.08,17974.1,8.52,59.48,97.84,19.63,8.83,2016-05-31,153.13,15.64,30.55,37.38,2.12,17.7
"Pichincha",3.21,2.78,3.94,3.06,4.78,3.53,3387,1.86,60764.95,4.07,60.07,88.89,11.04,11.41,2016-05-31,106.02,12.22,22.03,17.48,0.72,9.24
"Ripley",0,0,1.98,1.57,0,1.98,966,0.36,36916.17,15.37,58.68,88.92,32.08,6.94,2016-05-31,286.43,14.94,444.79,30.87,3.75,19.04
"Santander",4.35,2.52,0.58,0.53,0.97,0.26,33597,0.4,3016756.57,1.13,36.6,80.02,4.51,9.47,2016-05-31,362.39,14.93,51.17,23.18,1.34,13.91
"Scotiabank",1.17,0.25,3.34,2.8,4.29,2.81,6727,0.68,148811.43,2.49,37.34,83.29,7.51,8.5,2016-05-31,124.47,13.9,43.94,19.38,1.96,17.52
"Azteca",55.05,110.68,11.02,9.25,0,11.02,0,0.01,3450.87,21.42,62.77,96.27,44.35,5.42,2016-06-30,227.14,24,75.83,60.9,1.56,11.53
"B. del Comercio",12.09,1.51,3.17,2.92,16.32,1.88,1813,1.8,79645.49,4.47,52.83,87.51,12.24,7.6,2016-06-30,181.05,12.1,88.08,27.24,1.88,15.51
