"Bancos","Caja y Bancos en ME / Obligaciones a la Vista ME ( N° de veces)","Caja y Bancos MN / Obligaciones a la Vista MN ( N° de veces )","Creditos Atrasados (criterio SBS)* / Creditos Directos","Creditos Atrasados con mas de 90 dias de atraso / Creditos Directos","Creditos Atrasados ME (criterio SBS)* / Creditos Directos ME","Creditos Atrasados MN (criterio SBS)* / Creditos Directos MN","Creditos Directos / Personal ( S/ Miles )","Creditos Refinanciados y Reestructurados / Creditos Directos","Depositos / Numero de Oficinas ( S/ Miles )","Gastos de Administracion Anualizados / Activo Productivo Promedio","Gastos de Operacion / Margen Financiero Total","Ingresos Financieros / Ingresos Totales","Ingresos Financieros Anualizados / Activo Productivo Promedio","Pasivo Total / Capital Social y Reservas ( N° de veces )","Periodo","Provisiones / Creditos Atrasados","Ratio de Capital Global (al mes anterior)","Ratio de Liquidez ME (Promedio de saldos del mes)","Ratio de Liquidez MN (Promedio de saldos del mes)","Utilidad Neta Anualizada / Activo Promedio","Utilidad Neta Anualizada / Patrimonio Promedio"
"Cencosud",0,0,5.25,4.2,0,5.25,871,0.5,10465.03,21.89,56.34,85.31,42,4.12,2018-11-30,149.95,16.05,204.8,44.04,1.47,7.21
"Citibank",1.68,0.02,0,0,0,0,8108,0.2,4897107.16,2.51,40.74,61.62,4.46,7.87,2018-11-30,0,18.49,109.84,47.16,2.55,14.8
"Falabella",0,0,3.12,2.63,5.84,3.12,1310,3.37,36969.32,14.92,61.31,76.17,25.51,4.81,2018-11-30,248.92,16.85,163.56,29.23,1.56,8.84
"GNB",4.16,0.23,2.74,2.28,3.22,2.6,7559,4.36,315649.07,2.18,49.78,81.98,7.35,7.12,2018-11-30,156.76,14.11,47.09,41.69,0.88,6.87
"ICBC",1.46,1.97,0,0,0,0,8630,0,503783.12,3.19,110.44,81.51,3.45,2.19,2018-11-30,0,58.82,64.57,133.11,-0.75,-3.07
"Interbank",1.74,0.19,2.65,2.49,2.44,2.72,4684,0.67,105467.9,3.18,40.15,80.1,8.98,9.75,2018-11-30,175.92,16.12,56.06,27.03,2.34,21.84
"Mibanco",288.08,20.2,5.29,3.31,23.74,5.13,962,1.29,24971.72,8,47.84,95.53,21.05,9.32,2018-11-30,172.75,14.95,119.87,30.78,3.7,27.14
"Pichincha",4.13,1.08,3.65,2.96,4.13,3.48,4249,4.27,98289.13,4.21,57.42,87.96,11.28,11.36,2018-11-30,125.43,12.29,35.44,21.93,0.58,6.58
"Ripley",0,0,2.97,2.66,0,2.97,1087,0.4,35301.27,13.65,58.13,90.32,31.53,5.6,2018-11-30,199.57,13.7,591.86,33.44,3.09,16.15
"Santander",3.76,3.84,0.58,0.58,0.37,0.83,36661,0.98,3789409.45,1.44,37.89,82.96,5.13,8.05,2018-11-30,253.2,13.55,38.55,42.58,1.47,11.79
"Scotiabank",1.91,0.1,3.48,3.07,3.4,3.52,7337,1.33,172367.58,2.47,37.11,83.25,7.82,7.62,2018-11-30,131.55,14.26,41.85,16.18,2.2,15.77
"Azteca",106.77,18.41,9.36,7.74,0,9.36,156,0,2299.16,49.68,77.95,91.55,70.92,2.6,2018-12-31,202.98,25.5,71.77,28.68,0.4,1.44
"B. del Comercio",8.67,0.68,2.68,2.58,5.19,2.36,2127,0.72,79457.87,4.13,52.7,95.13,12.61,6.12,2018-12-31,172.27,12.91,61.57,30.65,1.62,10.74
"BBVA",1.14,0.23,2.94,2.69,3.25,2.78,8794,2,158174.26,2.23,37.46,81.56,7.38,9.69,2018-12-31,163.35,14.47,42.95,26.98,1.97,18.98
"BCP",1.13,0.2,2.66,2.21,1.38,3.47,4253,1.29,200309.02,2.94,40.14,77.5,7.94,9.02,2018-12-31,143.03,14.51,38.53,30.76,2.62,21.27
"BIF",2.22,0.24,2.92,2.8,3.74,2.51,7358,1.79,138474.81,2.11,44.33,83.06,7.02,14.94,2018-12-31,171.77,13.09,46.82,24.98,0.85,11.51
"Cencosud",0,0,5.68,4.8,0,5.68,926,0.48,10083.38,21.51,55.6,85.34,41.9,4.15,2018-12-31,138.57,15.51,271.18,42.35,1.37,6.83
"Citibank",1.32,0.03,0,0,0,0,8050,0.2,4772183.58,2.6,42.08,63.64,4.6,7.81,2018-12-31,0,18.66,114.29,44.77,2.53,15.15
"Falabella",0,0,2.97,2.55,8.98,2.96,1334,3.21,38853.14,15.24,61.63,76.43,25.49,4.78,2018-12-31,251.43,17.34,167.39,27.94,1.61,9.05
"GNB",6.12,0.19,2.63,2.19,2.83,2.57,7510,4.44,314155.36,2.17,49.3,82.13,7.39,7.98,2018-12-31,182.34,14.05,44.8,40.77,0.93,7.29
"ICBC",1.29,12.2,0,0,0,0,10307,0,520590.32,2.97,107.17,79.81,3.38,2.46,2018-12-31,0,48.64,50.08,148.02,-0.84,-3.3
"Interbank",1.61,0.22,2.64,2.49,2.29,2.76,4738,0.65,113151.88,3.18,40.37,79.71,9.65,9.91,2018-12-31,174.98,16.21,57.65,23.93,2.29,21.28
"Mibanco",244.17,25.89,5.27,3.38,24.21,5.11,955,1.28,25279.94,8.09,46.93,96.14,21.25,9.53,2018-12-31,172.75,14.72,98.71,31.29,3.62,26.46
"Pichincha",5.08,1.3,3.45,2.98,3.53,3.41,4311,4.26,96507.8,4.24,57.76,87.86,11.32,11.1,2018-12-31,135.25,12.08,39.8,21.77,0.57,6.46
"Ripley",0,0,2.93,2.67,0,2.93,1122,0.36,34556,13.78,58.89,90.18,31.45,5.55,2018-12-31,194.16,14.91,704.12,32.74,2.97,15.41
"Santander",2.98,0.55,0.62,0.59,0.37,0.93,35473,0.95,3961667.78,1.45,37.15,80.38,5.18,8.26,2018-12-31,241.46,13.17,41.07,37.83,1.57,12.59
"Scotiabank",1.74,0.12,3.53,3.08,3.41,3.59,7499,1.3,162577.41,2.45,36.96,83.16,7.79,7.63,2018-12-31,128.9,14.13,43.44,15.47,2.12,15.28
"Azteca",62.37,11.25,9.01,7.54,0,9.01,174,0,3368.03,45.6,63.79,93.21,68.98,3.73,2020-01-31,210.97,18.43,66.05,29.9,-2.14,-8.72
"B. del Comercio",6.29,1.04,3.03,2.5,4.29,2.89,2441,2.76,71736.7,4.23,46.52,91.85,12.17,5.58,2020-01-31,176.24,13.55,49,23.14,1.69,10.61
"BBVA",1.38,0.21,3.18,2.92,3.45,3.05,9154,2.18,177871.54,2.27,39.41,82.99,7.52,10.07,2020-01-31,158.28,14.05,51.29,19.64,2,18.78
"BCP",1.34,0.17,2.81,2.26,1.44,3.58,4410,1.11,233055.75,2.88,34.24,78.76,8.01,8.22,2020-01-31,134.6,14.47,45.96,30.14,2.61,20.14
"BIF",1.92,0.28,2.75,2.59,2.6,2.83,7535,1.66,148513.05,2.08,39.22,83.34,7.43,15.25,2020-01-31,178.03,14.62,47.06,31,1.08,13.99
"Citibank",0.78,0.11,0,0,0,0,6300,0,4684362.85,2.39,30.21,81.85,6.38,6.94,2020-01-31,0,19.2,98.99,70.79,3.52,22.88
"Falabella",0,0,2.91,2.49,10.85,2.9,1480,2.64,40376.66,15.57,61.1,76.76,26.35,4.96,2020-01-31,243.18,15,158.16,23.54,2.24,11.72
"GNB",9.27,0.45,3.84,3.17,5.08,3.51,7438,3.47,320877.16,1.94,44.9,68.04,7.66,6.73,2020-01-31,133.34,14.85,75.2,39.56,0.79,5.8
"ICBC",1.86,0.34,0,0,0,0,10018,0,1221892.16,1.67,43.45,89.93,3.29,3.68,2020-01-31,0,37.17,79.09,101.42,1.08,5.47
"Interbank",1.86,0.26,2.61,2.45,2.05,2.82,5407,0.71,136268.83,3.02,38.39,83.81,10.08,9.8,2020-01-31,178.13,15.15,59.31,27.55,2.42,21.78
"Mibanco",192.36,17.99,5.38,3.87,26.94,5.27,919,0.96,25490.54,8.82,54.33,96.21,20.46,7.87,2020-01-31,165.68,14.45,175.16,23.91,3.04,20.49
"Pichincha",4.12,1.01,4.36,3.78,3.54,4.64,3787,3.15,102723.71,4.46,50.26,85.63,12.35,10.1,2020-01-31,130.66,12.98,44.07,20.96,0.58,6.46
"Ripley",0,0,3.17,2.91,0,3.17,1145,1.62,42171.82,12.49,52.05,82.92,28.13,4.91,2020-01-31,202.73,16.06,715.26,42.54,2.34,12.52
"Santander",3.86,0.99,0.63,0.52,0.58,0.7,34223,0.65,4333037.97,1.47,36.49,91.24,5.82,8.87,2020-01-31,249.99,14.27,49.03,32.72,1.66,14.08
"Scotiabank",1.42,0.09,3.55,3.03,2.98,3.78,7887,1.47,186273.25,2.29,33.51,86.07,7.82,7.88,2020-01-31,132.92,14.45,41.94,22.65,2.14,16.16
"Azteca",67.68,9.63,9.03,7.48,0,9.03,171,0,3343.21,45.18,69.79,93.27,68.42,3.73,2020-02-29,211.68,17.95,57.85,27.32,-2.75,-11.58
"B. del Comercio",8.35,0.76,3.28,2.7,4.75,3.11,2453,2.83,69012.72,4.23,47.98,93.16,12.26,5.72,2020-02-29,170.67,12.98,49.38,20.07,1.72,10.71
"BBVA",1.25,0.18,3.25,2.94,3.44,3.16,9276,2.14,177390.25,2.28,40.37,83.5,7.57,9.65,2020-02-29,156.79,14.23,51.79,20.83,2.01,18.81
"BCP",1.27,0.15,2.71,2.16,1.45,3.41,4453,1.1,239448.87,2.87,35.87,78.83,8.02,8.42,2020-02-29,135.59,14.06,46.37,32.14,2.61,20.14
"BIF",1.97,0.26,2.79,2.55,2.77,2.81,7604,1.7,150224.38,2.06,40.21,83.59,7.42,15.13,2020-02-29,178.02,13.72,44.67,30.88,1.09,14.14
"Citibank",0.64,0.11,0,0,0,0,7031,0,4602388.78,2.4,32.85,88.1,7.5,6.85,2020-02-29,0,18.28,71.49,79.01,3.51,22.57
"Falabella",0,0,2.83,2.41,10.82,2.83,1473,2.7,41991.88,15.38,59.4,77.12,26.2,5.1,2020-02-29,249.85,14.53,0,0,2.2,11.6
"GNB",9.33,0.44,3.85,3.24,5.59,3.38,7590,3.29,325101.49,1.95,46.96,78.14,7.79,6.45,2020-02-29,131.88,15.02,80.97,40.11,0.79,5.73
"ICBC",3.16,0.14,0,0,0,0,10451,0,1323503.18,1.63,28.04,90.05,3.68,4.01,2020-02-29,0,38.48,80.02,101.89,1.7,8.68
"Interbank",2.02,0.15,2.66,2.48,2.14,2.86,0,0.7,137045.64,3.02,39.12,83.77,10.22,9.85,2020-02-29,174.18,14.88,61.52,25.97,2.42,21.75
"Mibanco",318.05,18.34,5.43,3.91,26.82,5.32,915,0.92,26103.14,8.82,55.11,96.17,20.56,8.01,2020-02-29,162.77,13.84,228.42,23.2,3.07,20.58
"Pichincha",3.75,0.63,4.24,3.67,3.95,4.34,3827,3.22,101874.23,4.45,52.21,85.07,12.36,10.01,2020-02-29,129.21,12.76,43.42,21.61,0.58,6.36
"Ripley",0,0,3.11,2.81,0,3.11,1136,1.73,42564.71,12.41,54.42,82.97,27.8,5.09,2020-02-29,209.41,14.88,0,0,2.34,12.53
"Santander",4,2.22,0.6,0.55,0.63,0.56,33026,0.61,4295735.62,1.48,36.37,81.68,5.82,8.45,2020-02-29,267.23,13.33,41.26,33.62,1.69,14.32
"Scotiabank",1.35,0.08,3.62,3.07,3.1,3.84,7876,1.44,190172.48,2.28,35.27,84.96,7.78,8.08,2020-02-29,131.76,14.08,39.72,26.55,2.14,16.2
"Azteca",4.47,11.54,7.85,6.32,0,7.85,173,0,3319.61,44.57,72.49,91.88,67.62,3.78,2020-03-31,268.77,17.41,65.66,24.34,-2.97,-12.87
"B. del Comercio",11.07,1.09,2.86,2.51,5.17,2.63,2393,3.09,69342.4,4.24,48.01,93.84,12.38,5.11,2020-03-31,194.9,12.81,63.98,20.31,1.75,10.79
"BBVA",1.16,0.23,3.14,2.84,3.39,3.03,9546,2.23,178488.82,2.29,41.14,82.77,7.45,9.98,2020-03-31,160.22,14.17,48,19.35,1.99,18.46
"BCP",1.08,0.18,2.81,2.17,1.43,3.62,4598,1.01,253978.38,2.85,38.45,79.18,7.9,8.79,2020-03-31,129.26,13.86,43.64,33.19,2.39,18.4
"BIF",1.67,0.33,2.42,2.28,2.36,2.45,7862,1.75,159461.46,2.04,40.8,84.42,7.42,15.62,2020-03-31,200.46,13.78,43.48,34.14,1.04,13.46
"Citibank",0.66,0.21,0,0,0,0,7206,0,4957932.43,2.45,35.27,82.25,8.58,7.17,2020-03-31,0,17.42,72.37,68.95,3.5,22.35
"Falabella",0,0,3.26,2.62,11.82,3.25,1439,2.58,45748.86,14.88,56.76,76.39,25.79,5.13,2020-03-31,231.59,14.5,160.04,30.27,1.94,10.27
"GNB",7.01,0.64,4.09,3.33,5.44,3.74,7502,3.28,303533.35,1.95,47.34,82.19,7.78,6.2,2020-03-31,124.06,15.46,76.77,40.99,0.78,5.64
"ICBC",2.85,0.51,0,0,0,0,10164,0,1330713.3,1.62,35.73,88.39,3.53,3.98,2020-03-31,0,38.38,81.55,109.79,1.56,7.99
"Interbank",1.9,0.14,2.79,2.12,2.28,2.96,5360,0.71,136371.54,3.01,39.54,83.27,9.98,9.85,2020-03-31,173.6,14.87,61.89,25.78,2.25,20.11
"Mibanco",95.92,22.12,5.42,3.9,27.81,5.3,908,0.93,24953.93,8.81,54.13,96.83,20.66,7.71,2020-03-31,178.28,13.71,163.5,26.53,2.82,18.81
"Pichincha",3.26,0.79,4.57,3.48,3.64,4.87,3746,3.27,98555.94,4.43,53.22,85.42,12.33,9.67,2020-03-31,125.82,12.69,45.38,20.39,0.56,6.04
"Ripley",0,0,3.09,2.79,0,3.09,1133,1.81,40633.29,12.47,53.32,83.72,27.66,4.74,2020-03-31,260.64,15.13,652.27,45.93,2.12,11.37
"Santander",4.73,1.53,1.45,0.51,0.79,2.23,34055,0.19,5372425.57,1.47,34.23,84.61,5.85,9.72,2020-03-31,107.54,14.03,43.79,38.34,1.73,14.87
"Scotiabank",1.28,0.16,3.79,3.01,3.22,4.02,7792,1.43,189292.98,2.26,36.37,85.65,7.69,7.82,2020-03-31,131.56,13.98,37.85,26.35,2.04,15.35
"Azteca",3.07,5.25,9.04,7.76,0,9.04,183,0,3243.23,43.6,69.87,93.42,67.6,3.75,2020-04-30,260.18,16.7,124.08,21.88,-2.91,-13
"B. del Comercio",11.13,2.62,2.91,2.67,5.28,2.68,0,3.43,70457.22,4.19,49.65,94.74,12.34,5.26,2020-04-30,194.92,13.21,64.16,25.23,1.76,10.77
"BBVA",1.13,0.3,3.69,2.96,3.62,3.73,9373,2.11,187643.15,2.26,41.66,83.19,7.29,9.99,2020-04-30,143.98,14.01,50.2,23.22,1.83,16.84
"BCP",1.35,0.19,2.92,2.43,1.76,3.57,4655,0.96,257565.73,2.78,38.88,80.32,7.75,7.95,2020-04-30,132.84,13.52,46.12,29.46,2.15,16.62
"BIF",1.88,0.71,2.44,2.16,2.36,2.49,7832,1.74,174420.78,2.02,41.6,85.6,7.32,14.42,2020-04-30,204.71,13.65,45.35,34.27,1,13.03
"Citibank",1.53,0.25,0,0,0,0,7395,0,7004123.36,2.42,33.94,69.1,6.38,8.28,2020-04-30,0,18.5,103.92,60.01,3.42,22.46
"Falabella",0,0,4.04,3.53,12.41,4.03,1346,3.81,40560.27,14.44,55.4,78.45,25.37,4.61,2020-04-30,211.81,14.92,167.41,31.8,1.65,8.78
"GNB",10.75,1.42,4.15,3.3,5.57,3.76,7443,3.37,305533.4,1.94,48.04,83.78,7.54,6.34,2020-04-30,124.85,15.56,77.35,39.77,0.72,5.19
"ICBC",2.85,0.58,0,0,0,0,12705,0,1334218.95,1.58,43.74,86.25,3.22,3.97,2020-04-30,0,38.74,104.23,96.84,1.3,6.74
"Interbank",1.93,0.31,3.03,2.07,2.28,3.29,5441,0.72,135053.4,2.93,39.09,83.64,9.74,8.37,2020-04-30,169.74,16.12,68.33,20.69,2.07,18.44
"Mibanco",174.47,31.76,5.03,3.76,26.14,4.93,926,0.97,24636.37,8.77,55.04,97.51,20.49,7.76,2020-04-30,200.87,14.02,120.5,28.64,2.6,17.23
"Pichincha",3.48,1.22,4.75,3.42,3.51,5.14,3703,3.33,96851.45,4.38,54.25,86.75,12.25,9.53,2020-04-30,127.1,12.99,41.7,20.3,0.54,5.77
"Ripley",0,0,2.78,2.46,0,2.78,1108,1.96,38082.58,12.31,53.94,84.62,27.57,4.69,2020-04-30,330.82,15.24,678.83,43.33,1.88,9.98
"Santander",4.5,1.27,0.96,0.51,0.77,1.17,34358,0.35,5177790.58,1.46,34.74,85.03,5.82,9.59,2020-04-30,173.53,13.53,54.13,25.68,1.68,14.74
"Scotiabank",1.47,0.18,4.18,2.98,3.47,4.47,7878,1.32,199679.98,2.25,37.22,86.5,7.61,8.1,2020-04-30,124.8,14.67,39.21,23.1,1.92,14.43
"Azteca",2.82,18.92,10.01,7.39,0,10.01,191,0,4467.06,42.21,70.95,94.16,65.69,3.99,2020-05-31,254.72,16.28,62,23.79,-2.98,-13.72
"B. del Comercio",11.78,2.9,3.03,2.62,7.67,2.6,2387,3.46,73195.96,4.13,48.49,95.19,12.41,5.52,2020-05-31,193.92,13.64,66.08,31.67,1.65,10.06
"BBVA",1.23,0.49,3.35,2.89,3.72,3.19,9720,2.15,205413.29,2.22,42.18,83.29,7.05,10.14,2020-05-31,159.67,14.04,51.21,26.61,1.65,15.29
"BCP",1.27,0.44,2.54,2.35,1.5,3.02,5170,0.88,281934.32,2.7,38.38,81.42,7.62,9.11,2020-05-31,151.46,14.52,49.09,32.66,1.92,15.12
"BIF",1.99,0.71,2.25,2.1,2.31,2.21,8432,1.64,177175.33,1.97,41.34,85.86,7.19,15.24,2020-05-31,217.1,13.87,43.64,41.48,0.95,12.44
"Citibank",0.45,0.48,0,0,0,0,7156,0,5165331.72,2.38,34.71,70.05,5.77,6.26,2020-05-31,0,21.29,90.61,67.4,3.37,22.18
"Falabella",0,0,4.66,3.63,14.24,4.65,1353,5.71,39622.43,14.05,56.44,79.18,24.74,4.48,2020-05-31,206.65,15.88,161.73,36.53,0.99,5.29
"GNB",10.78,1.64,4.03,3.48,5.18,3.72,7417,3.38,311832.43,1.9,47.1,85.81,7.55,6.36,2020-05-31,135.19,15.74,76.57,43.63,0.66,4.73
"ICBC",3.37,1.82,0,0,0,0,12859,0,1445320.82,1.56,37.94,87.8,3.43,4.27,2020-05-31,0,34.9,69.36,94.28,1.51,7.94
"Interbank",2.2,0.43,2.39,1.96,2.25,2.43,5894,0.67,146382.01,2.85,39.12,84.52,9.6,9.24,2020-05-31,217.66,14.95,61.73,22.45,1.87,16.75
"Mibanco",174.73,28.14,5.8,3.69,26.04,5.7,966,0.95,24840.78,8.66,54.51,97.9,20.25,7.68,2020-05-31,182.35,14.03,154.83,27.68,2.35,15.52
"Pichincha",3.43,1.17,3.92,3.13,3.61,4,4029,3.22,110246.24,4.3,54.38,86.44,12.09,10.89,2020-05-31,147.77,13.36,40.78,25.28,0.5,5.28
"Ripley",0,0,1.41,1.11,0,1.41,1084,2.3,41492.64,12,52.59,85.3,27.24,4.89,2020-05-31,670.02,15.75,692.31,47.85,1.65,8.74
"Santander",4.08,1.13,0.95,0.91,0.79,1.12,34911,0.36,5169728.35,1.45,34.19,85.35,5.73,9.31,2020-05-31,181.66,13.53,56.88,25.41,1.68,14.85
"Scotiabank",1.38,0.29,4.1,2.92,3.83,4.2,8406,1.1,221733.72,2.2,37.12,87.05,7.39,7.8,2020-05-31,128.56,14.88,45.79,23.7,1.75,13.14
"Azteca",3.07,6.4,8.13,5.66,0,8.13,195,0,4421.36,42.52,70.37,94.82,65.7,3.89,2020-06-30,332.21,16.26,61.67,30.58,-3.3,-15.66
"B. del Comercio",10.65,2.95,2.73,2.51,5.01,2.52,2348,3.5,75187.46,4.08,49.35,95.2,12.26,5.75,2020-06-30,215.54,13.64,70.27,37.81,1.63,10.01
"BBVA",0.96,0.38,3.23,2.92,3.83,2.98,10280,2.17,207098.92,2.17,42.15,83.23,6.83,10.52,2020-06-30,164.76,14.2,51.24,32.97,1.5,14.02
"BCP",1.24,0.3,2.67,2.43,1.66,3.14,5100,0.95,276799.2,2.62,38.42,81.64,7.39,8.9,2020-06-30,161.65,14.64,52.34,33.39,1.7,13.59
"BIF",1.49,0.74,2.31,2.2,2.4,2.27,8699,1.61,180714.76,1.92,40.01,86.05,7.1,15.07,2020-06-30,227.97,13.88,41.87,47.47,0.89,11.69
"Citibank",0.94,0.32,0,0,0,0,6457,0,5319108.46,2.33,35.45,75.41,6.24,7.21,2020-06-30,0,24.88,100.29,63.18,3.17,20.97
"Falabella",0,0,5.13,3.76,14.44,5.12,1306,7.92,42385.21,13.75,57.88,78.3,24.05,4.74,2020-06-30,198.13,16.19,162.67,41.79,0.6,3.18
"GNB",9.31,1.6,4.01,3.64,5.13,3.7,7335,3.58,329845.22,1.86,45.97,87.57,7.68,6.58,2020-06-30,144.65,16.01,79.04,45.43,0.6,4.3
"ICBC",1.31,2.06,0,0,0,0,14729,0,1156225.23,1.52,35.79,83.81,3.4,3.78,2020-06-30,0,38.13,63.24,103.48,1.56,8.29
"Interbank",2.22,0.56,2.44,2.05,2.29,2.48,6088,0.64,175303.33,2.76,38.84,84.98,9.49,10.04,2020-06-30,229.42,14.75,67.12,31.29,1.65,14.93
"Mibanco",197.35,30.81,6.51,3.68,26.59,6.41,960,0.94,24302.59,8.54,55.01,98.11,19.91,7.6,2020-06-30,169.82,15.91,130.24,30.19,2.13,14.07
"Pichincha",2.81,1.57,4.32,3.14,3.95,4.43,4051,3.26,108841.42,4.2,54.31,86.74,11.75,10.84,2020-06-30,140.4,13.1,39.79,28.33,0.45,4.82
"Ripley",0,0,1.82,1.15,0,1.82,1048,2.39,41020.53,11.9,54.03,85.49,26.83,4.71,2020-06-30,638.66,15.92,753.25,50.81,1.06,5.63
"Santander",1.87,5.03,0.94,0.94,0.78,1.13,35330,0.36,5996315.9,1.42,34.23,84.96,5.62,10.72,2020-06-30,189.99,13.61,38.71,62.22,1.56,14.12
"Scotiabank",1.15,0.29,4.13,2.88,4.03,4.16,8478,1.12,218895.01,2.15,37.16,87.16,7.19,7.76,2020-06-30,135.89,14.88,44.21,30.21,1.55,11.65
"Azteca",139.97,4.38,8.22,5.84,0,8.22,201,0,4608.34,41.06,70.77,95.11,64.08,3.71,2020-07-31,370.29,16.96,70.44,30.12,-3.77,-18.35
"B. del Comercio",13.88,3.18,2.58,2.52,6.96,2.3,2329,3.89,71333.77,4.04,48.23,95.29,12.3,5.78,2020-07-31,240.59,13.81,80.43,40.11,1.57,9.68
"BBVA",1.1,0.61,3.04,2.72,3.93,2.71,10735,2.17,217700.54,2.13,41.66,82.93,6.64,11.3,2020-07-31,172.62,14.07,52.47,35.56,1.34,12.65
"BCP",1.37,0.31,2.71,2.42,1.67,3.16,5106,0.98,287931.39,2.6,39.79,81.42,7.19,9.24,2020-07-31,174.07,14.8,57.08,33.68,1.46,11.93
"BIF",1.55,0.64,2.31,2.21,2.38,2.28,8550,1.67,188044.23,1.87,39.62,85.82,6.95,15.42,2020-07-31,242.27,13.88,48.13,46.59,0.8,10.67
"China",0,0,0,NA,0,0,0,0,NA,2.08,73.41,100,2.92,0.06,2020-07-31,0,NA,341.04,17652.24,0.41,0.43
"Citibank",0.67,0.53,0,0,0,0,6531,0,5728875.88,2.34,36.26,77.93,6.13,7.52,2020-07-31,0,23.68,76.72,80.24,2.98,19.86
"Falabella",0,0,5.45,4.4,15.53,5.44,1337,9.1,42162.63,13.55,59.61,77.84,23.4,4.66,2020-07-31,187.46,16.1,163.72,47.74,0.22,1.15
"GNB",10.86,1.26,4.34,3.92,5.29,4.09,7222,3.54,333140.04,1.81,45.48,88.14,7.49,6.61,2020-07-31,140.06,16.31,81.06,47.68,0.56,4.03
"ICBC",1.34,2.16,0,0,0,0,14809,0,1285637.07,1.49,38.06,82.56,3.28,3.94,2020-07-31,0,35.17,49.95,106.04,1.55,8.2
"Interbank",2.4,0.61,2.28,2.05,2.37,2.26,6265,0.63,177277.03,2.65,38.73,84.35,8.85,10.39,2020-07-31,261.01,14.68,79.38,34.71,1.25,11.54
"Mibanco",221.02,36.55,5.91,4.06,27.06,5.81,1016,0.92,25088.55,8.42,55.63,98.24,19.32,8.17,2020-07-31,185.8,15.94,184.03,28.09,1.82,12.04
"Pichincha",2.91,1.98,4.01,3.14,3.76,4.08,4387,3.6,112001.14,4.07,53.37,86.79,11.43,10.78,2020-07-31,158.46,13.55,39.88,25.6,0.41,4.35
"Ripley",0,0,2.01,1.2,0,2.01,1029,2.56,40420.01,11.67,54.18,84.55,26.33,4.63,2020-07-31,673.1,16.09,822.79,54.26,0.59,3.12
"Santander",1.97,2.31,0.98,0.98,0.82,1.16,33128,0.38,6197949.63,1.4,33.71,84.65,5.49,10.44,2020-07-31,206.38,13.27,45.01,62.17,1.55,14.35
"Scotiabank",1.38,0.24,3.74,3.02,3.88,3.69,8574,1.21,213314.32,2.11,37.61,86.68,6.87,7.65,2020-07-31,156.51,14.95,47.09,25.29,1.32,9.97
"Azteca",137.75,5.51,7.94,4.61,0,7.94,194,0,4469.07,39.87,72.06,95.57,61.98,3.61,2020-08-31,410.8,16.96,88.28,32.08,-4.68,-23.4
"B. del Comercio",9.47,2.46,2.61,2.44,7.44,2.33,2389,3.77,78880.62,3.95,48.24,95.35,12.25,5.79,2020-08-31,239.01,13.81,90.77,40.57,1.54,9.5
"BBVA",1.08,0.72,2.97,2.66,4.05,2.6,10995,2.18,217944.31,2.08,41.13,82.66,6.39,11.53,2020-08-31,182.13,14.07,52.57,41.84,1.2,11.56
"BCP",1.26,0.21,2.79,2.38,2.07,3.09,5165,1.09,293519.08,2.53,40.01,81.23,6.94,9.35,2020-08-31,181.52,14.8,58.73,38.85,1.21,10.06
"BIF",1.16,0.8,2.3,1.96,2.29,2.3,8753,1.62,187313.92,1.82,39.38,85.74,6.79,15.44,2020-08-31,245.93,13.88,45.48,51.06,0.71,9.5
"China",0,0,0,NA,0,0,0,0,NA,2.48,86.13,100,3.01,0.06,2020-08-31,0,NA,268.8,19175.15,0.28,0.3
"Citibank",0.4,0.76,0,0,0,0,6061,0,6715841.77,2.27,37.66,75.89,5.7,8.07,2020-08-31,0,23.68,75.29,86.8,2.63,17.84
"Falabella",0,0,6.33,5.81,16.78,6.31,1317,9.25,44409.07,13.14,60.04,77.49,22.56,4.91,2020-08-31,162.57,16.1,154.32,51.36,-0.18,-0.96
"GNB",14.76,1.12,4.54,4.2,5.43,4.3,7105,3.7,321021.55,1.78,45.66,88.46,7.31,6.41,2020-08-31,138.96,16.31,82.55,48.66,0.52,3.74
"ICBC",1.51,1.8,0,0,0,0,13540,0,1495502.02,1.47,39.07,81.36,3.17,4.81,2020-08-31,0,35.17,62.25,107.12,1.48,7.92
"Interbank",2.92,0.61,2.28,1.96,2.55,2.2,6372,0.64,177542.34,2.57,38.88,84.11,8.47,10.57,2020-08-31,271.67,14.68,82.11,36.33,1.07,10.06
"Mibanco",106.98,37.26,5.67,3.44,27.74,5.58,1071,1.06,24610.79,8.24,56.18,98.28,18.66,8.37,2020-08-31,191.52,15.94,197.86,29.77,1.58,10.56
"Pichincha",3.5,2.14,3.96,3.08,3.66,4.05,4541,3.78,123934.44,4.02,54.5,86.85,11.17,11.42,2020-08-31,162.9,13.55,41.56,27.66,0.35,3.77
"Ripley",0,0,2.34,1.4,0,2.34,1066,2.92,42269.51,11.48,55.2,84.01,25.72,4.78,2020-08-31,648.76,16.09,765.31,59.64,0.18,0.96
"Santander",1.62,3.03,0.97,0.97,0.83,1.12,32895,0.39,6092125.56,1.37,34.06,84.46,5.29,10.5,2020-08-31,211.93,13.27,46.36,65.32,1.45,13.72
"Scotiabank",1.11,0.62,4.15,3.11,5.27,3.74,8463,1.3,212558.42,2.09,37.12,86.41,6.72,7.69,2020-08-31,154.93,14.95,40.62,36,1.15,8.66
